date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
2/2/2021,ARKF,"SQUARE INC - A",SQ,852234103,1160353.00,264131153.39,8.94
2/2/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1529330.00,144674618.00,4.89
