# Sample Events List 
S. No. , Date, Ticker, ETF, Analyst, Remarks
1, 2021-02-04, GDRX, , FOOL, Recommended as 10x Badger
2, 2021-02-04, WD, , FOOL, Recommended as 10x Badger
